Record_ID,Project_Code,Project_Title,Lead_Author,Graduation_Year,Institution,Contact_Email,Start_Date,Duration_Months,Budget_USD,Category,Notes
REC-1000,PRJ-2026-4052,Study on Cataloging,Jane Smith,2022,"University of Nevada, Las Vegas",contact@lab.org,1900-01-01,16,-$113.00,Ethics,Phase 1 &amp; 2 complete
REC-1001,prj-2026-1001,Investigation into Archival Studies and Modern Data Pipelines,Jane Smith,2005,University of Illinois at Urbana-Champaign,r.johnson@mit.edu,2020-01-15,24,43359.14 USD,Python,Notes on &quot;UIUC&quot;
REC-1002,PRJ-2026-4052,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Smith,2021,"Berkeley, University of California",a.wright@berkeley.edu,,42,174566.92,Machine Learning,Cost &lt; Budget
REC-1003,prj-2026-1001,Study on GIS Mapping,Kristina Tailor,2012,university of illinois at urbana-champaign,a.wright@berkeley.edu,2099-12-31,25,53213.03,Machine Learning,Cost &lt; Budget
REC-1004,PRJ-2026-9900,Analysis of Metadata,Alexander Wright,c2020,MIT,contact@lab.org,2025-12-01,5,19575.69 USD,Cataloging,Phase 1 &amp; 2 complete
REC-1005,PRJ-2026-9900,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Doe,Pending,Massachusetts Institute of Technology,smith@unlv.edu,,40,-$304.00,Metadata,Na&iuml;ve Bayes test
REC-1006,PRJ-2026-4052,Proj A,Smith,2005,Univ. of Illinois (UIUC),a.wright@berkeley.edu,1900-01-01,32,-$105.00,Machine Learning,Caf&eacute; study group
REC-1007,prj-2026-1001,Comprehensive Digital Humanities Data Archival Research Project Phase 1,Dr. Johnson,N/A,"Las Vegas, University of Nevada",jdoe@illinois.edu,,9,37004.0,Ethics,Notes on &quot;UIUC&quot;
REC-1008,PRJ-26-1001,Analysis of Metadata,Michael OBrown,,"Berkeley, University of California",contact@lab.org,2099-12-31,26,107540.31,Cataloging,Phase 1 &amp; 2 complete
REC-1009,,Study on Machine Learning,Jane Smith,2022,"Berkeley, University of California",a.wright@berkeley.edu,2020-01-15,41,FREE,Cataloging,Cost &lt; Budget
REC-1010,PRJ-2026-9900,Comprehensive Digital Humanities Data Archival Research Initiative Phase 1,Dr. Brown,,MIT,smith@unlv.edu,2018-11-05,38,FREE,Data Science,Cost &lt; Budget
,,,,,,,,,,Cataloging,Sub-tag record
,,,,,,,,,,Ethics,Sub-tag record
,,,,,,,,,,Bioinformatics,Sub-tag record
REC-1011,,National Science Foundation Geospatial Analysis Infrastructure Project,Dr. Smith,Class of 2018,"University of Nevada, Las Vegas",smith@unlv.edu,2020-01-15,18,69369.45 USD,Machine Learning,Na&iuml;ve Bayes test
REC-1012,PRJ-2026-1001,Investigation into Bioinformatics and Modern Data Pipelines,Dr. Jane Mary Smith,2018,MIT,jdoe@illinois.edu,1900-01-01,9,FREE,Metadata,Cost &lt; Budget
REC-1013,PRJ-2026-4052,Investigation into GIS Mapping and Modern Data Pipelines,Jane Smith,2020,"University of Nevada, Las Vegas",contact@lab.org,2016-03-12,8,FREE,Archival Studies,Na&iuml;ve Bayes test
REC-1014,INVALID_CODE,Proj A,Jane Smith,c2020,UIUC,duplicate.user@research.org,2023-09-30,47,-$438.00,Metadata,Caf&eacute; study group
